house_id,building,meter,appliance,appliance_category,n_readings,n_ok,n_gap,pct_missing,appliance_power_mean_w,appliance_power_max_w,appliance_power_sum_w,mains_power_mean_w,period_start,period_end,pct_time_active,appliance_energy_kwh,pct_of_house_appliance_energy
UKDALE_house_1,1,12,fridge,refrigeration,1081916,1045698,36218,3.35,40.60171127319336,882.0,42457128.0,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:16:00+00:00,43.29,707.6188,14.41
UKDALE_house_1,1,5,washing_machine,laundry,1132318,1063424,68894,6.08,28.430522918701172,2340.666748046875,30233700.0,649.1762084960938,2012-11-09 22:28:00+00:00,2015-01-05 06:25:00+00:00,5.31,503.895,10.26
UKDALE_house_1,1,25,lighting_circuit,lighting,955881,954293,1588,0.17,23.6933650970459,494.0,22610412.0,649.1762084960938,2013-03-12 10:59:00+00:00,2015-01-05 06:19:00+00:00,26.78,376.8402,7.67
UKDALE_house_1,1,8,kitchen_lights,lighting,1128243,1072296,55947,4.96,20.83376693725586,438.6000061035156,22339964.0,649.1762084960938,2012-11-12 18:24:00+00:00,2015-01-05 06:26:00+00:00,11.65,372.3327,7.58
UKDALE_house_1,1,9,htpc,other,1081926,1046864,35062,3.24,17.325910568237305,130.0,18137872.0,649.1762084960938,2012-12-14 22:21:00+00:00,2015-01-05 06:26:00+00:00,22.63,302.2979,6.16
UKDALE_house_1,1,2,boiler,water_heating,1132311,1074164,58147,5.14,16.746400833129883,140.5,17988380.0,649.1762084960938,2012-11-09 22:28:00+00:00,2015-01-05 06:18:00+00:00,73.72,299.8063,6.1
UKDALE_house_1,1,6,dishwasher,dishwashing,1132318,1075942,56376,4.98,16.50018310546875,2550.75,17753240.0,649.1762084960938,2012-11-09 22:28:00+00:00,2015-01-05 06:25:00+00:00,2.22,295.8873,6.02
UKDALE_house_1,1,10,kettle,cooking,1132309,1043828,88481,7.81,15.598138809204102,2487.125,16281774.0,649.1762084960938,2012-11-09 22:28:00+00:00,2015-01-05 06:16:00+00:00,0.86,271.3629,5.53
UKDALE_house_5,5,3,i7_desktop,electronics,197369,189932,7437,3.77,69.02001953125,351.0,13109111.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:51:00+00:00,70.75,218.4852,17.54
UKDALE_house_5,5,9,core2_server,electronics,197377,189981,7396,3.75,68.12142181396484,688.0,12941776.0,1260.0394287109375,2014-06-29 17:23:00+01:00,2014-11-13 17:59:00+00:00,95.54,215.6963,17.32
